1012	Beijing		Chengdu		93621	21	20200205	cn20761

1011	Beijing		Shanghai		97121	76	20200416	           cn72811

1020         Beijing                          Tokyo                         92101       205           20200509    cn30192

1030         Beijing                          Newyork                        09192       320          20200625    cn27391

1031         Beijing                         Washington                     74519       205          20200701    cn53247

2030         Tokyo                          Newyork                         62517      205          20200319    us79401

2031        Tokyo                         Washington                      09123       84              20200415    jp20194

2010	Tokyo		Beijing		64293	102	20200316	jp09283

1112	Shanghai		 Chengdu		09281	54	20200517	cn28493

1131         Shanghai                       Washington                       89120      102            20200613    cn09192

1110         Shanghai                        Beijing                          09129        205           20200305    cn87281
           
2112	Osaka		Chengdu		28381	17	20201128	          jp06825

3020	Newyork		Tokyo		28394	205	20201006	         us23948

2220	Sapporo		Tokyo		72461	84	20200115   	jp64901

2214         Sapporo                        Xiamen                        82531        84            20200815    cn92031

1412          Sapporo                        Chengdu                          29301      102            20200214    cn02918

1311	Shenzhen		Shanghai		87727	  102	   20200125	     cn53742

   
